Labels,32C_25_550K,
Type,Emission Scan,
Comment,,
Start,450.00,
Stop,750.1500,
Step,0.150,
Fixed/Offset,248.400,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xe,
Temp,28.450,
Scan Polariser,None,
Scan Slit,0.2520,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9970,
Detector,Red PMT,

450.00,1.33257288E+3,
450.1500,1.64976758E+3,
450.300,1.46144312E+3,
450.4500,1.36974817E+3,
450.600,1.14694543E+3,
450.7500,1.08441589E+3,
450.900,1.05137000E+3,
451.0500,1.03077356E+3,
451.200,1.00862036E+3,
451.3500,1.00711389E+3,
451.500,1.03420190E+3,
451.6500,9.86622070E+2,
451.800,1.02006757E+3,
451.9500,1.12502356E+3,
452.100,1.24061279E+3,
452.2500,1.23524841E+3,
452.400,1.34620105E+3,
452.5500,1.27949097E+3,
452.700,1.16664270E+3,
452.8500,1.11991162E+3,
453.00,1.15237366E+3,
453.1500,1.09585278E+3,
453.300,1.04314050E+3,
453.4500,1.04416797E+3,
453.600,1.05877600E+3,
453.7500,1.07174353E+3,
453.900,1.08310156E+3,
454.0500,1.05255847E+3,
454.200,1.00846765E+3,
454.3500,1.11663806E+3,
454.500,1.08727478E+3,
454.6500,9.74947815E+2,
454.800,1.10841296E+3,
454.9500,1.06703809E+3,
455.100,1.07088025E+3,
455.2500,1.06328186E+3,
455.400,1.05722107E+3,
455.5500,1.04576550E+3,
455.700,1.10027332E+3,
455.8500,1.13095056E+3,
456.00,1.10312793E+3,
456.1500,1.11437708E+3,
456.300,1.09617664E+3,
456.4500,1.10739966E+3,
456.600,1.17115308E+3,
456.7500,1.14783142E+3,
456.900,1.20278528E+3,
457.0500,1.23649219E+3,
457.200,1.20837122E+3,
457.3500,1.16661096E+3,
457.500,1.22044165E+3,
457.6500,1.13635144E+3,
457.800,1.16600452E+3,
457.9500,1.16048230E+3,
458.100,1.20233032E+3,
458.2500,1.16135400E+3,
458.400,1.16739941E+3,
458.5500,1.25627209E+3,
458.700,1.18060876E+3,
458.8500,1.15158813E+3,
459.00,1.12169775E+3,
459.1500,1.06487354E+3,
459.300,1.05139807E+3,
459.4500,1.12556921E+3,
459.600,1.06374341E+3,
459.7500,1.05288794E+3,
459.900,1.02117676E+3,
460.0500,1.05252490E+3,
460.200,1.06760657E+3,
460.3500,1.10904553E+3,
460.500,1.12266296E+3,
460.6500,1.13276831E+3,
460.800,1.15076636E+3,
460.9500,1.28063806E+3,
461.100,1.19126794E+3,
461.2500,1.17238782E+3,
461.400,1.22639795E+3,
461.5500,1.23098792E+3,
461.700,1.33112329E+3,
461.8500,1.38186853E+3,
462.00,1.46649573E+3,
462.1500,1.46222058E+3,
462.300,1.49419568E+3,
462.4500,1.60476941E+3,
462.600,1.63947314E+3,
462.7500,1.41295142E+3,
462.900,1.45780701E+3,
463.0500,1.43984155E+3,
463.200,1.38774231E+3,
463.3500,1.32515210E+3,
463.500,1.30261621E+3,
463.6500,1.23628186E+3,
463.800,1.18417358E+3,
463.9500,1.13872339E+3,
464.100,1.19790356E+3,
464.2500,1.17199133E+3,
464.400,1.09005762E+3,
464.5500,1.13322021E+3,
464.700,1.16249976E+3,
464.8500,1.12008655E+3,
465.00,1.14614587E+3,
465.1500,1.15774890E+3,
465.300,1.14524451E+3,
465.4500,1.11816321E+3,
465.600,1.14856311E+3,
465.7500,1.08410034E+3,
465.900,1.10719678E+3,
466.0500,1.14900562E+3,
466.200,1.23339136E+3,
466.3500,1.23267712E+3,
466.500,1.37770239E+3,
466.6500,1.43666760E+3,
466.800,1.82116467E+3,
466.9500,1.89378162E+3,
467.100,2.09901611E+3,
467.2500,2.17244800E+3,
467.400,2.20880005E+3,
467.5500,2.03101758E+3,
467.700,1.95187830E+3,
467.8500,1.84432886E+3,
468.00,1.73296118E+3,
468.1500,1.69044299E+3,
468.300,1.55431128E+3,
468.4500,1.42558020E+3,
468.600,1.36420239E+3,
468.7500,1.40450635E+3,
468.900,1.33516650E+3,
469.0500,1.28631750E+3,
469.200,1.35014099E+3,
469.3500,1.26509607E+3,
469.500,1.26311353E+3,
469.6500,1.37229712E+3,
469.800,1.30562146E+3,
469.9500,1.22896106E+3,
470.100,1.29169360E+3,
470.2500,1.19015601E+3,
470.400,1.20557239E+3,
470.5500,1.12132349E+3,
470.700,1.19511597E+3,
470.8500,1.17331287E+3,
471.00,1.05406958E+3,
471.1500,1.08781104E+3,
471.300,1.10646802E+3,
471.4500,1.06188123E+3,
471.600,1.09759363E+3,
471.7500,1.09316467E+3,
471.900,1.06768835E+3,
472.0500,1.07235413E+3,
472.200,1.08915503E+3,
472.3500,1.11095886E+3,
472.500,1.13676050E+3,
472.6500,1.15253918E+3,
472.800,1.16731116E+3,
472.9500,1.31820203E+3,
473.100,1.51916260E+3,
473.2500,1.59003479E+3,
473.400,1.79296277E+3,
473.5500,1.76274707E+3,
473.700,1.43644678E+3,
473.8500,1.30325940E+3,
474.00,1.24410876E+3,
474.1500,1.18608789E+3,
474.300,1.16407092E+3,
474.4500,1.10505273E+3,
474.600,1.02203540E+3,
474.7500,1.07502332E+3,
474.900,1.13100989E+3,
475.0500,1.14302954E+3,
475.200,1.10711414E+3,
475.3500,1.12020154E+3,
475.500,1.11328552E+3,
475.6500,1.09836536E+3,
475.800,1.13246240E+3,
475.9500,1.11053711E+3,
476.100,1.08965515E+3,
476.2500,1.15585437E+3,
476.400,1.10897229E+3,
476.5500,1.10912402E+3,
476.700,1.09425793E+3,
476.8500,1.13445789E+3,
477.00,1.07853137E+3,
477.1500,1.06074011E+3,
477.300,1.16817273E+3,
477.4500,1.14337622E+3,
477.600,1.14462744E+3,
477.7500,1.13384790E+3,
477.900,1.10100244E+3,
478.0500,1.18352734E+3,
478.200,1.13776709E+3,
478.3500,1.10201111E+3,
478.500,1.16261230E+3,
478.6500,1.21421240E+3,
478.800,1.18848718E+3,
478.9500,1.11953003E+3,
479.100,1.14610950E+3,
479.2500,1.19286426E+3,
479.400,1.14305994E+3,
479.5500,1.19085510E+3,
479.700,1.30616162E+3,
479.8500,1.24928210E+3,
480.00,1.23468457E+3,
480.1500,1.25843250E+3,
480.300,1.40224792E+3,
480.4500,1.36956812E+3,
480.600,1.38734180E+3,
480.7500,1.49705237E+3,
480.900,1.51186011E+3,
481.0500,1.52262476E+3,
481.200,1.49696460E+3,
481.3500,1.52086218E+3,
481.500,1.45873083E+3,
481.6500,1.42692651E+3,
481.800,1.48931531E+3,
481.9500,1.37742126E+3,
482.100,1.35977429E+3,
482.2500,1.36749121E+3,
482.400,1.42392798E+3,
482.5500,1.45096716E+3,
482.700,1.41301440E+3,
482.8500,1.49494568E+3,
483.00,1.49967529E+3,
483.1500,1.47608130E+3,
483.300,1.52472461E+3,
483.4500,1.47972473E+3,
483.600,1.36640308E+3,
483.7500,1.45685388E+3,
483.900,1.38011194E+3,
484.0500,1.32067102E+3,
484.200,1.41850012E+3,
484.3500,1.35294678E+3,
484.500,1.42023267E+3,
484.6500,1.40267859E+3,
484.800,1.33800781E+3,
484.9500,1.30193713E+3,
485.100,1.27613367E+3,
485.2500,1.32520068E+3,
485.400,1.28606006E+3,
485.5500,1.27459424E+3,
485.700,1.31346912E+3,
485.8500,1.26394604E+3,
486.00,1.36254578E+3,
486.1500,1.31096069E+3,
486.300,1.26033105E+3,
486.4500,1.27150220E+3,
486.600,1.30641846E+3,
486.7500,1.31246460E+3,
486.900,1.28958167E+3,
487.0500,1.41759766E+3,
487.200,1.36878662E+3,
487.3500,1.37788538E+3,
487.500,1.34762964E+3,
487.6500,1.39921399E+3,
487.800,1.53382056E+3,
487.9500,1.53160913E+3,
488.100,1.57088196E+3,
488.2500,1.64653320E+3,
488.400,1.69004138E+3,
488.5500,1.69199451E+3,
488.700,1.73868799E+3,
488.8500,1.77605725E+3,
489.00,1.64055322E+3,
489.1500,1.76874841E+3,
489.300,1.69477087E+3,
489.4500,1.70522656E+3,
489.600,1.67287598E+3,
489.7500,1.71989221E+3,
489.900,1.78369067E+3,
490.0500,1.76605310E+3,
490.200,1.85118042E+3,
490.3500,1.87146497E+3,
490.500,1.87814136E+3,
490.6500,1.98556958E+3,
490.800,1.99548132E+3,
490.9500,2.06426001E+3,
491.100,2.16482104E+3,
491.2500,2.33508936E+3,
491.400,2.31492041E+3,
491.5500,2.46027393E+3,
491.700,2.43593677E+3,
491.8500,2.58900879E+3,
492.00,2.58269092E+3,
492.1500,2.52240234E+3,
492.300,2.58166382E+3,
492.4500,2.43647290E+3,
492.600,2.47028638E+3,
492.7500,2.22602563E+3,
492.900,2.37869312E+3,
493.0500,2.21367090E+3,
493.200,2.18029077E+3,
493.3500,2.06165771E+3,
493.500,2.11548120E+3,
493.6500,2.11498657E+3,
493.800,2.03549756E+3,
493.9500,1.90887866E+3,
494.100,1.90819397E+3,
494.2500,1.86042480E+3,
494.400,1.93355859E+3,
494.5500,1.92108118E+3,
494.700,1.84317273E+3,
494.8500,1.86922571E+3,
495.00,1.75893494E+3,
495.1500,1.81081799E+3,
495.300,1.81760474E+3,
495.4500,1.84269409E+3,
495.600,1.74394055E+3,
495.7500,1.70216284E+3,
495.900,1.67973376E+3,
496.0500,1.76960413E+3,
496.200,1.72897449E+3,
496.3500,1.71963245E+3,
496.500,1.65289844E+3,
496.6500,1.64779675E+3,
496.800,1.65027026E+3,
496.9500,1.61042029E+3,
497.100,1.59772803E+3,
497.2500,1.60787598E+3,
497.400,1.69311633E+3,
497.5500,1.55523804E+3,
497.700,1.59260913E+3,
497.8500,1.53293604E+3,
498.00,1.61293066E+3,
498.1500,1.61877148E+3,
498.300,1.51630859E+3,
498.4500,1.57790601E+3,
498.600,1.45219263E+3,
498.7500,1.55661292E+3,
498.900,1.46907117E+3,
499.0500,1.50885156E+3,
499.200,1.47831726E+3,
499.3500,1.51157507E+3,
499.500,1.56031384E+3,
499.6500,1.56942908E+3,
499.800,1.48141284E+3,
499.9500,1.49488245E+3,
500.100,1.41770679E+3,
500.2500,1.50310205E+3,
500.400,1.36707654E+3,
500.5500,1.34612036E+3,
500.700,1.34620923E+3,
500.8500,1.32740845E+3,
501.00,1.27410425E+3,
501.1500,1.29524927E+3,
501.300,1.29637915E+3,
501.4500,1.27632764E+3,
501.600,1.23950085E+3,
501.7500,1.23275488E+3,
501.900,1.30981140E+3,
502.0500,1.20131995E+3,
502.200,1.25609070E+3,
502.3500,1.20562646E+3,
502.500,1.28515698E+3,
502.6500,1.29186377E+3,
502.800,1.19186023E+3,
502.9500,1.09842908E+3,
503.100,1.16915967E+3,
503.2500,1.18259045E+3,
503.400,1.17011340E+3,
503.5500,1.19709949E+3,
503.700,1.19025098E+3,
503.8500,1.13365405E+3,
504.00,1.14256628E+3,
504.1500,1.08925818E+3,
504.300,1.12084766E+3,
504.4500,1.08556421E+3,
504.600,1.07973206E+3,
504.7500,1.16025049E+3,
504.900,1.10442065E+3,
505.0500,1.11679602E+3,
505.200,1.15882324E+3,
505.3500,1.20548328E+3,
505.500,1.22596826E+3,
505.6500,1.17793396E+3,
505.800,1.22014905E+3,
505.9500,1.19948462E+3,
506.100,1.19714673E+3,
506.2500,1.20399268E+3,
506.400,1.21773267E+3,
506.5500,1.35441333E+3,
506.700,1.44419788E+3,
506.8500,1.36726184E+3,
507.00,1.44799609E+3,
507.1500,1.43790833E+3,
507.300,1.50282007E+3,
507.4500,1.56669971E+3,
507.600,1.58328125E+3,
507.7500,1.58947009E+3,
507.900,1.67562134E+3,
508.0500,1.61001343E+3,
508.200,1.69527502E+3,
508.3500,1.55288525E+3,
508.500,1.64755701E+3,
508.6500,1.55023694E+3,
508.800,1.48535718E+3,
508.9500,1.45185120E+3,
509.100,1.33063123E+3,
509.2500,1.39859741E+3,
509.400,1.36485413E+3,
509.5500,1.33806970E+3,
509.700,1.23030225E+3,
509.8500,1.30076331E+3,
510.00,1.36900623E+3,
510.1500,1.21029602E+3,
510.300,1.24436230E+3,
510.4500,1.17479309E+3,
510.600,1.22775024E+3,
510.7500,1.21823401E+3,
510.900,1.20042542E+3,
511.0500,1.24408093E+3,
511.200,1.19904858E+3,
511.3500,1.14445154E+3,
511.500,1.21663269E+3,
511.6500,1.11684314E+3,
511.800,1.12140857E+3,
511.9500,1.10933264E+3,
512.100,1.10204041E+3,
512.2500,1.07450488E+3,
512.400,1.05764429E+3,
512.5500,9.59587341E+2,
512.700,9.60496948E+2,
512.8500,9.45858765E+2,
513.00,9.53931396E+2,
513.1500,9.88442627E+2,
513.300,9.01887329E+2,
513.4500,9.03993774E+2,
513.600,8.94082703E+2,
513.7500,8.54076111E+2,
513.900,7.91107727E+2,
514.0500,8.34091309E+2,
514.200,8.16857361E+2,
514.3500,8.45481018E+2,
514.500,7.88316772E+2,
514.6500,8.19384827E+2,
514.800,8.46877686E+2,
514.9500,7.77400757E+2,
515.100,7.56339050E+2,
515.2500,8.65264832E+2,
515.400,7.34759644E+2,
515.5500,7.23323120E+2,
515.700,7.75246216E+2,
515.8500,7.77243286E+2,
516.00,7.69470764E+2,
516.1500,7.34788940E+2,
516.300,7.26958313E+2,
516.4500,7.11759338E+2,
516.600,7.38219971E+2,
516.7500,7.18086365E+2,
516.900,7.44600769E+2,
517.0500,7.67484680E+2,
517.200,6.90705444E+2,
517.3500,7.34546814E+2,
517.500,7.29126709E+2,
517.6500,7.70621399E+2,
517.800,7.17007690E+2,
517.9500,7.22681824E+2,
518.100,7.15990723E+2,
518.2500,7.47731506E+2,
518.400,6.44233093E+2,
518.5500,6.90869812E+2,
518.700,7.41331604E+2,
518.8500,7.08470276E+2,
519.00,6.53104858E+2,
519.1500,6.89982056E+2,
519.300,7.34428406E+2,
519.4500,7.61461243E+2,
519.600,6.77149414E+2,
519.7500,6.56559998E+2,
519.900,6.94876099E+2,
520.0500,6.50408875E+2,
520.200,6.85052551E+2,
520.3500,7.13476074E+2,
520.500,6.42442993E+2,
520.6500,6.89792297E+2,
520.800,6.84219360E+2,
520.9500,6.97588379E+2,
521.100,6.41397034E+2,
521.2500,6.85129089E+2,
521.400,6.69366455E+2,
521.5500,6.57374512E+2,
521.700,6.77115356E+2,
521.8500,6.70187988E+2,
522.00,6.54333130E+2,
522.1500,7.09806519E+2,
522.300,6.97781616E+2,
522.4500,6.87006836E+2,
522.600,6.17405884E+2,
522.7500,7.16565063E+2,
522.900,7.16015076E+2,
523.0500,7.28296509E+2,
523.200,7.20092407E+2,
523.3500,7.27286621E+2,
523.500,7.48643616E+2,
523.6500,6.96644226E+2,
523.800,6.87069885E+2,
523.9500,6.69730713E+2,
524.100,6.66570618E+2,
524.2500,6.93149841E+2,
524.400,7.17193848E+2,
524.5500,7.72388733E+2,
524.700,6.70721436E+2,
524.8500,7.23380981E+2,
525.00,7.70949890E+2,
525.1500,7.20983582E+2,
525.300,7.12599487E+2,
525.4500,7.14628601E+2,
525.600,7.70179504E+2,
525.7500,8.20614014E+2,
525.900,8.12285828E+2,
526.0500,7.50264771E+2,
526.200,7.34010010E+2,
526.3500,7.03284729E+2,
526.500,7.57868408E+2,
526.6500,7.07376526E+2,
526.800,6.98894470E+2,
526.9500,8.59038330E+2,
527.100,8.01949463E+2,
527.2500,7.97579651E+2,
527.400,7.79976501E+2,
527.5500,8.43062134E+2,
527.700,7.88364258E+2,
527.8500,8.95368530E+2,
528.00,8.29975586E+2,
528.1500,8.33600098E+2,
528.300,8.50538879E+2,
528.4500,8.86170349E+2,
528.600,8.57841370E+2,
528.7500,8.36122742E+2,
528.900,8.71849792E+2,
529.0500,8.40711243E+2,
529.200,8.01444824E+2,
529.3500,8.57347290E+2,
529.500,9.10685181E+2,
529.6500,8.78078247E+2,
529.800,8.76356323E+2,
529.9500,8.85409180E+2,
530.100,9.34941101E+2,
530.2500,9.61612671E+2,
530.400,9.55888916E+2,
530.5500,1.05978064E+3,
530.700,9.71491089E+2,
530.8500,8.93858582E+2,
531.00,9.99365417E+2,
531.1500,9.92292969E+2,
531.300,9.78396484E+2,
531.4500,9.98523254E+2,
531.600,1.00777850E+3,
531.7500,9.97938477E+2,
531.900,9.99006348E+2,
532.0500,1.01513867E+3,
532.200,1.01216455E+3,
532.3500,9.55702942E+2,
532.500,1.00892828E+3,
532.6500,9.79814514E+2,
532.800,9.89152161E+2,
532.9500,1.01916608E+3,
533.100,1.01480359E+3,
533.2500,9.67651855E+2,
533.400,1.04476501E+3,
533.5500,1.02935193E+3,
533.700,9.46029846E+2,
533.8500,9.59581421E+2,
534.00,9.64831177E+2,
534.1500,9.65933777E+2,
534.300,1.07695593E+3,
534.4500,9.41666809E+2,
